observation_date,GS10
2013-01-01,1.91
2013-02-01,1.98
2013-03-01,1.96
2013-04-01,1.76
2013-05-01,1.93
2013-06-01,2.30
2013-07-01,2.58
2013-08-01,2.74
2013-09-01,2.81
2013-10-01,2.62
2013-11-01,2.72
2013-12-01,2.90
2014-01-01,2.86
2014-02-01,2.71
2014-03-01,2.72
2014-04-01,2.71
2014-05-01,2.56
2014-06-01,2.60
2014-07-01,2.54
2014-08-01,2.42
2014-09-01,2.53
2014-10-01,2.30
2014-11-01,2.33
2014-12-01,2.21
2015-01-01,1.88
2015-02-01,1.98
2015-03-01,2.04
2015-04-01,1.94
2015-05-01,2.20
2015-06-01,2.36
2015-07-01,2.32
2015-08-01,2.17
2015-09-01,2.17
2015-10-01,2.07
2015-11-01,2.26
2015-12-01,2.24
2016-01-01,2.09
2016-02-01,1.78
2016-03-01,1.89
2016-04-01,1.81
2016-05-01,1.81
2016-06-01,1.64
2016-07-01,1.50
2016-08-01,1.56
2016-09-01,1.63
2016-10-01,1.76
2016-11-01,2.14
2016-12-01,2.49
2017-01-01,2.43
2017-02-01,2.42
2017-03-01,2.48
2017-04-01,2.30
2017-05-01,2.30
2017-06-01,2.19
2017-07-01,2.32
2017-08-01,2.21
2017-09-01,2.20
2017-10-01,2.36
2017-11-01,2.35
2017-12-01,2.40
2018-01-01,2.58
2018-02-01,2.86
2018-03-01,2.84
2018-04-01,2.87
2018-05-01,2.98
2018-06-01,2.91
2018-07-01,2.89
2018-08-01,2.89
2018-09-01,3.00
2018-10-01,3.15
2018-11-01,3.12
2018-12-01,2.83
