PERMNO,date,TICKER,PRC
10104,20130131,ORCL,35.51
10104,20130228,ORCL,34.24
10104,20130328,ORCL,32.33
10104,20130430,ORCL,32.78
10104,20130531,ORCL,33.78
10104,20130628,ORCL,30.71
10104,20130731,ORCL,32.35
10104,20130830,ORCL,31.86
10104,20130930,ORCL,33.17
10104,20131031,ORCL,33.5
10104,20131129,ORCL,35.29
10104,20131231,ORCL,38.26
10104,20140131,ORCL,36.9
10104,20140228,ORCL,39.11
10104,20140331,ORCL,40.91
10104,20140430,ORCL,40.88
10104,20140530,ORCL,42.02
10104,20140630,ORCL,40.53
10104,20140731,ORCL,40.39
10104,20140829,ORCL,41.53
10104,20140930,ORCL,38.28
10104,20141031,ORCL,39.05
10104,20141128,ORCL,42.41
10104,20141231,ORCL,44.97
10104,20150130,ORCL,41.89
10104,20150227,ORCL,43.82
10104,20150331,ORCL,43.15
10104,20150430,ORCL,43.62
10104,20150529,ORCL,43.49
10104,20150630,ORCL,40.3
10104,20150731,ORCL,39.94
10104,20150831,ORCL,37.09
10104,20150930,ORCL,36.12
10104,20151030,ORCL,38.84
10104,20151130,ORCL,38.97
10104,20151231,ORCL,36.53
10104,20160129,ORCL,36.31
10104,20160229,ORCL,36.78
10104,20160331,ORCL,40.91
10104,20160429,ORCL,39.86
10104,20160531,ORCL,40.2
10104,20160630,ORCL,40.93
10104,20160729,ORCL,41.04
10104,20160831,ORCL,41.22
10104,20160930,ORCL,39.28
10104,20161031,ORCL,38.42
10104,20161130,ORCL,40.19
10104,20161230,ORCL,38.45
10104,20170131,ORCL,40.11
10104,20170228,ORCL,42.59
10104,20170331,ORCL,44.61
10104,20170428,ORCL,44.96
10104,20170531,ORCL,45.39
10104,20170630,ORCL,50.14
10104,20170731,ORCL,49.93
10104,20170831,ORCL,50.33
10104,20170929,ORCL,48.35
10104,20171031,ORCL,50.9
10104,20171130,ORCL,49.06
10104,20171229,ORCL,47.28
10104,20180131,ORCL,51.59
10104,20180228,ORCL,50.67
10104,20180329,ORCL,45.75
10104,20180430,ORCL,45.67
10104,20180531,ORCL,46.72
10104,20180629,ORCL,44.06
10104,20180731,ORCL,47.68
10104,20180831,ORCL,48.58
10104,20180928,ORCL,51.56
10104,20181031,ORCL,48.84
